,img,colormap,dataset,arquitetura_cnn
CWT,MedicalImages,binary,0.5144736766815186,vgg16_tf
CWT,Meat,binary,0.3333333432674408,vgg16_tf
CWT,ArrowHead,binary,0.3942857086658478,vgg16_tf
CWT,Computers,binary,0.5,vgg16_tf
CWT,Coffee,binary,0.5357142686843872,vgg16_tf
CWT,Lightning2,binary,1.0,vgg16_tf
CWT,GesturePebbleZ2,binary,0.1772151887416839,vgg16_tf
CWT,EOGHorizontalSignal,binary,0.0828729271888732,vgg16_tf
CWT,FreezerSmallTrain,binary,0.5,vgg16_tf
CWT,CBF,binary,0.3311111032962799,vgg16_tf
CWT,LargeKitchenAppliances,binary,0.3333333432674408,vgg16_tf
CWT,GunPointAgeSpan,binary,0.4936708807945251,vgg16_tf
CWT,SyntheticControl,binary,0.1666666716337204,vgg16_tf
CWT,InsectEPGSmallTrain,binary,0.4738955795764923,vgg16_tf
CWT,SemgHandMovementCh2,binary,0.1666666716337204,vgg16_tf
CWT,FaceFour,plasma,0.159090906381607,vgg16_tf
CWT,BirdChicken,plasma,0.5,vgg16_tf
CWT,ProximalPhalanxTW,plasma,0.35121950507164,vgg16_tf
CWT,CinCECGTorso,plasma,0.2478260844945907,vgg16_tf
CWT,Beef,plasma,0.2000000029802322,vgg16_tf
CWT,EthanolLevel,plasma,0.2479999959468841,vgg16_tf
CWT,MoteStrain,plasma,0.4608626067638397,vgg16_tf
CWT,GestureMidAirD1,plasma,0.0384615398943424,vgg16_tf
CWT,OliveOil,plasma,0.4000000059604645,vgg16_tf
CWT,ProximalPhalanxOutlineAgeGroup,plasma,0.4292683005332947,vgg16_tf
CWT,SemgHandGenderCh2,plasma,0.3499999940395355,vgg16_tf
CWT,Plane,plasma,0.095238097012043,vgg16_tf
CWT,AllGestureWiimoteZ,plasma,0.1000000014901161,vgg16_tf
MTF,FaceFour,binary,0.2954545319080353,vgg16_tf
MTF,BirdChicken,binary,0.5,vgg16_tf
MTF,ProximalPhalanxTW,binary,0.35121950507164,vgg16_tf
MTF,CinCECGTorso,binary,0.2478260844945907,vgg16_tf
MTF,Beef,binary,0.2000000029802322,vgg16_tf
MTF,EthanolLevel,binary,0.2479999959468841,vgg16_tf
MTF,MoteStrain,binary,0.5391373634338379,vgg16_tf
MTF,GestureMidAirD1,binary,0.0384615398943424,vgg16_tf
MTF,OliveOil,binary,0.4000000059604645,vgg16_tf
MTF,ProximalPhalanxOutlineAgeGroup,binary,0.4292683005332947,vgg16_tf
MTF,SemgHandGenderCh2,binary,0.3499999940395355,vgg16_tf
MTF,Plane,binary,0.095238097012043,vgg16_tf
MTF,AllGestureWiimoteZ,binary,0.1000000014901161,vgg16_tf
MTF,ItalyPowerDemand,binary,0.5014577507972717,vgg16_tf
